标题	正文页URL
上海市人民代表大会常务委员会关于修改《上海市志愿服务条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/66b783cf-5c29-449f-aa64-9cef6c51c17d.html
上海市浦东新区固体废物资源化再利用若干规定	https://www.shrd.gov.cn/shrd/fggb/content/ded4c315-383c-49a3-b6f3-8a2abb703974.html
上海市人民代表大会常务委员会关于修改《上海市历史文化风貌区和优秀历史建筑保护条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/642a76c9-7674-4e2a-8c61-189d0ce25a86.html
上海市船舶污染防治条例	https://www.shrd.gov.cn/shrd/fggb/content/7e9c9f1f-1852-44fb-89ae-d43c3869caea.html
上海市住房租赁条例	https://www.shrd.gov.cn/shrd/fggb/content/309f21b9-74b1-40ae-994b-ad8f4a0de443.html
上海市学前教育与托育服务条例	https://www.shrd.gov.cn/shrd/fggb/content/5a863511-248c-4881-bef2-108f77766d75.html
上海市浦东新区促进无驾驶人智能网联汽车创新应用规定	https://www.shrd.gov.cn/shrd/fggb/content/d2590d3c-2db8-4338-a9d7-7607270ea494.html
上海市妇女权益保障条例	https://www.shrd.gov.cn/shrd/fggb/content/288c8807-da0a-4dda-abc8-1295c79fe8f8.html
上海市动物防疫条例	https://www.shrd.gov.cn/shrd/fggb/content/040e7413-f0bf-416c-90c4-cf0920920f7a.html
上海市浦东新区优化揭榜挂帅机制促进新型研发机构发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/10c87951-4dac-4a8d-aa5c-694560eb931c.html
上海市人民代表大会常务委员会关于修改《上海市实施〈中华人民共和国全国人民代表大会和地方各级人民代表大会代表法〉办法》等3件地方性法规和废止《上海市授予荣誉市民称号规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/58af0ff1-62e7-4aa7-8a75-e69f262259a9.html
上海市人民代表大会常务委员会关于修改《上海市公共场所控制吸烟条例》等5件地方性法规和废止《上海市企业名称登记管理规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/9cf674f0-9bfa-480e-8db5-f9b7d994f4f3.html
上海市促进虹桥国际中央商务区发展条例	https://www.shrd.gov.cn/shrd/fggb/content/f68c5165-d9e5-469e-837a-592a656cf1f9.html
上海市推进长三角区域社会保障卡居民服务一卡通规定	https://www.shrd.gov.cn/shrd/fggb/content/ebbcf35a-f811-4911-80a1-c240e7502d18.html
上海市市容环境卫生管理条例	https://www.shrd.gov.cn/shrd/fggb/content/2ae46328-52ae-4122-a339-956a713a4e36.html
上海市机关运行保障条例	https://www.shrd.gov.cn/shrd/fggb/content/ff9195f4-4a9d-402b-a5c2-4cb572cf5103.html
上海市浦东新区推进住宅小区治理创新若干规定	https://www.shrd.gov.cn/shrd/fggb/content/a895038b-c138-4e68-97bf-4ad99cd0a354.html
上海市服务办好中国国际进口博览会条例	https://www.shrd.gov.cn/shrd/fggb/content/8c6194fc-68b0-405a-b5ba-165ce9df4a76.html
上海市促进人工智能产业发展条例	https://www.shrd.gov.cn/shrd/fggb/content/eb6e3ad4-a4b4-41e6-b53e-d72acadf3a0f.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会议事规则》的决定	https://www.shrd.gov.cn/shrd/fggb/content/1a541d57-6a14-42bd-9991-0749e7c8d75d.html
上海市浦东新区文物艺术品交易若干规定	https://www.shrd.gov.cn/shrd/fggb/content/9a4531c6-0580-4852-9dee-9bdac56d3a3a.html
上海市消费者权益保护条例	https://www.shrd.gov.cn/shrd/fggb/content/970631c0-eb2d-4461-895f-fa09515bba96.html
上海市人民代表大会常务委员会关于加强经济工作监督的决定	https://www.shrd.gov.cn/shrd/fggb/content/55f1e26a-c578-4f99-915b-05d09b2a8429.html
上海市浦东新区化妆品产业创新发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/c8cbabb4-c704-4fd8-8f3a-9e28cfce2be0.html
上海市人民代表大会常务委员会关于修改《上海市环境保护条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/e488f807-7aee-4e16-b100-8be5d8343b09.html
上海市人民代表大会常务委员会关于进一步做好当前促进就业工作的决定	https://www.shrd.gov.cn/shrd/fggb/content/a0a587b2-4d1e-4365-8b56-b9b004042201.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会任免国家机关工作人员条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/51b042b9-4f21-430c-8bbd-a587396069a3.html
上海市浦东新区推进市场准营承诺即入制改革若干规定	https://www.shrd.gov.cn/shrd/fggb/content/62c65247-4225-406a-ae14-e2c29111071f.html
