标题	正文页URL
上海市妇女权益保障条例	https://www.shrd.gov.cn/shrd/fggb/content/b9480a6a-3b7b-4383-9781-54563aa2f073.html
上海市动物防疫条例	https://www.shrd.gov.cn/shrd/fggb/content/fd96ad6e-25fc-48bb-98bb-103461c55db0.html
上海市浦东新区优化揭榜挂帅机制促进新型研发机构发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/7bc243a9-5212-4d3e-b713-316fd929835a.html
上海市人民代表大会常务委员会关于修改《上海市实施〈中华人民共和国全国人民代表大会和地方各级人民代表大会代表法〉办法》等3件地方性法规和废止《上海市授予荣誉市民称号规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/b4e44a7b-0855-4b6c-82c4-c2c8a1c1d3c3.html
上海市人民代表大会常务委员会关于修改《上海市公共场所控制吸烟条例》等5件地方性法规和废止《上海市企业名称登记管理规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/dd5260b1-0eaf-41bb-b539-55a5cb4533e1.html
上海市促进虹桥国际中央商务区发展条例	https://www.shrd.gov.cn/shrd/fggb/content/cd7b9786-0b25-4cb9-8719-899bd961814d.html
上海市推进长三角区域社会保障卡居民服务一卡通规定	https://www.shrd.gov.cn/shrd/fggb/content/c64921d4-b0cc-4296-81cc-2c675846869f.html
上海市市容环境卫生管理条例	https://www.shrd.gov.cn/shrd/fggb/content/0b619ca4-06f7-45ba-9e10-19eb90715bdf.html
上海市机关运行保障条例	https://www.shrd.gov.cn/shrd/fggb/content/40fe9742-df4d-4380-ac87-19ec1d65e384.html
上海市浦东新区推进住宅小区治理创新若干规定	https://www.shrd.gov.cn/shrd/fggb/content/e270932f-a8a5-4dfb-9731-f1a94021e3f5.html
上海市服务办好中国国际进口博览会条例	https://www.shrd.gov.cn/shrd/fggb/content/3a7ab50b-197b-4ace-a850-3984137c57e9.html
上海市促进人工智能产业发展条例	https://www.shrd.gov.cn/shrd/fggb/content/d616645c-fd5a-48ef-9bfe-48339415f94c.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会议事规则》的决定	https://www.shrd.gov.cn/shrd/fggb/content/76fe4a0b-cd10-4c3a-af92-287ebb9b2762.html
上海市浦东新区文物艺术品交易若干规定	https://www.shrd.gov.cn/shrd/fggb/content/031c32fd-972b-401d-b188-05e586dbf8fb.html
上海市消费者权益保护条例	https://www.shrd.gov.cn/shrd/fggb/content/4cab9af1-6989-488e-aa1d-1cf80c1015d4.html
上海市中医药条例	https://www.shrd.gov.cn/shrd/fggb/content/e6094460-5063-48f0-b1b9-cd6d840ae284.html
上海市人民代表大会常务委员会关于修改《上海市区县和乡镇人民代表大会代表直接选举实施细则》的决定	https://www.shrd.gov.cn/shrd/fggb/content/0124a450-336f-40d6-9ba0-c1fac126f8cf.html
上海市人民代表大会常务委员会关于促进和保障长江流域禁捕工作若干问题的决定	https://www.shrd.gov.cn/shrd/fggb/content/914f5632-f8ea-4795-80c6-d48da88cce29.html
上海市人民代表大会常务委员会关于加强国有资产管理情况监督的决定	https://www.shrd.gov.cn/shrd/fggb/content/7eaa652c-973f-4c2c-81a9-21b41fbdf696.html
上海市红色资源传承弘扬和保护利用条例	https://www.shrd.gov.cn/shrd/fggb/content/d702ed59-be14-4703-a706-177f5751a5e0.html
上海市人民代表大会常务委员会规范性文件备案审查条例	https://www.shrd.gov.cn/shrd/fggb/content/479cc78d-e3e0-4a9a-b455-07b9e92a161a.html
上海市人民代表大会常务委员会关于加强浦东新区高水平改革开放法治保障制定浦东新区法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/0ac071d1-c2e0-4e6f-9627-5a6c94c1f953.html
上海市人民代表大会常务委员会关于进一步促进和保障“一网通办”改革的决定	https://www.shrd.gov.cn/shrd/fggb/content/4455b2ef-194c-451a-9df2-1ed9d7a853b1.html
上海市人民建议征集若干规定	https://www.shrd.gov.cn/shrd/fggb/content/e95c938c-3eaa-4f4e-b663-ff4624a87b92.html
上海市人民代表大会常务委员会 关于修改《上海市街道办事处条例》等2件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/23b469de-0ac2-419a-bd42-4c9a5f9722db.html
上海市区和乡镇选举工作委员会公告	https://www.shrd.gov.cn/shrd/fggb/content/37737222-d054-4503-8628-a3fbb7c688da.html
上海市城市更新条例	https://www.shrd.gov.cn/shrd/fggb/content/56767551-85f2-4e6f-b35c-991233b72512.html
上海市人民代表大会常务委员会关于修改《上海市出版物发行管理条例》等3件地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/313d1586-84a5-4e81-a92d-8acc2b26b3fe.html
上海市水上搜寻救助条例	https://www.shrd.gov.cn/shrd/fggb/content/9a7b5787-4759-4bf6-a3b3-1e8f1ce96fa4.html
上海市慈善条例	https://www.shrd.gov.cn/shrd/fggb/content/ef152052-32fd-431d-b3cf-5b568e773449.html
上海市预算审查监督条例	https://www.shrd.gov.cn/shrd/fggb/content/6d56c7bb-2cb0-4b0f-80eb-a52c1bb3a4fe.html
上海市浦东新区深化“一业一证”改革规定	https://www.shrd.gov.cn/shrd/fggb/content/1f8dab9b-0bdf-43e7-bac3-addb78285f22.html
上海市浦东新区市场主体退出若干规定	https://www.shrd.gov.cn/shrd/fggb/content/b140976c-34f2-4f62-89b1-07d672d16385.html
上海市人民代表大会常务委员会关于修改本市部分地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/b0535d5d-013b-4cea-82ba-941322d1ca87.html
上海市浦东新区城市管理领域非现场执法规定	https://www.shrd.gov.cn/shrd/fggb/content/7687ccad-358b-461c-a3ac-68d37713f3ae.html
上海市浦东新区建立高水平知识产权保护制度若干规定	https://www.shrd.gov.cn/shrd/fggb/content/4a74dc09-7062-418b-af3e-34712d3cf658.html
上海市安全生产条例	https://www.shrd.gov.cn/shrd/fggb/content/7e013233-b0d2-47ca-a1f5-48ae45f7f373.html
上海市档案条例	https://www.shrd.gov.cn/shrd/fggb/content/86157cde-d9c6-4211-8a99-9220691f30ef.html
上海市人民代表大会常务委员会关于修改《上海市人口与计划生育条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/81d45262-79d0-4a3e-a401-bc90709fdae9.html
上海市促进大型科学仪器设施共享规定	https://www.shrd.gov.cn/shrd/fggb/content/8c06f940-7d44-4900-ae5a-7684d360ee66.html
上海市数据条例	https://www.shrd.gov.cn/shrd/fggb/content/34d29254-44bf-4160-8c5e-21a20f7f5ab1.html
上海市浦东新区完善市场化法治化企业破产制度若干规定	https://www.shrd.gov.cn/shrd/fggb/content/bfa0c72e-2cae-4999-bf4e-1a6a9ccf95a0.html
上海市黄浦江苏州河滨水公共空间条例	https://www.shrd.gov.cn/shrd/fggb/content/5d20ec48-a773-4de9-8e4b-48dd6bd0c782.html
上海市区人民代表大会常务委员会街道工作委员会工作条例	https://www.shrd.gov.cn/shrd/fggb/content/5d8f8131-3dd1-43ec-80d6-b3ba89acf127.html
上海市浦东新区促进张江生物医药产业创新高地建设规定	https://www.shrd.gov.cn/shrd/fggb/content/a6dcd36a-3718-420e-a02e-47a6aece9c38.html
上海市反间谍安全防范条例	https://www.shrd.gov.cn/shrd/fggb/content/ed25ef8a-73ed-4eb8-b178-1b712c858d45.html
上海市科学技术普及条例	https://www.shrd.gov.cn/shrd/fggb/content/4f4ee53d-21c1-47df-aa8b-b43f9864cf0e.html
上海市人民代表大会常务委员会关于修改《上海市禁毒条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/4733fe35-e043-4375-8c51-db8ed865a019.html
上海市未成年人保护条例	https://www.shrd.gov.cn/shrd/fggb/content/dda75202-e40d-4446-92e1-d26a6048481b.html
中国（上海）自由贸易试验区临港新片区条例	https://www.shrd.gov.cn/shrd/fggb/content/f0972db2-d093-4359-8138-f0abdf10856f.html
上海市预防未成年人犯罪条例	https://www.shrd.gov.cn/shrd/fggb/content/938e862d-0149-4da8-abe4-a0c1e388c521.html
上海市浦东新区市场主体登记确认制若干规定	https://www.shrd.gov.cn/shrd/fggb/content/03b9643e-73c1-4412-ad1c-f1a525f48d45.html
上海市人民代表大会常务委员会关于进一步促进和保障城市运行“一网统管”建设的决定	https://www.shrd.gov.cn/shrd/fggb/content/d626ae01-d864-4a5b-a154-400c3df73294.html
上海市人民代表大会常务委员会关于修改《上海市工会条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/17325508-b7f6-4fb5-bde8-e6eddbe97b56.html
上海市公安机关警务辅助人员管理条例	https://www.shrd.gov.cn/shrd/fggb/content/7f4f36c1-586e-4fde-b762-44f36782917c.html
上海市红十字会条例	https://www.shrd.gov.cn/shrd/fggb/content/652a0152-2b30-45b5-9c67-1ef9e0f46f7d.html
上海市浦东新区绿色金融发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/a54eebaf-e447-4762-8400-5ab194fa0b17.html
上海市浦东新区推进市场准营承诺即入制改革若干规定	https://www.shrd.gov.cn/shrd/fggb/content/66d5e857-725b-4a5a-bba9-11d16f0bdf5b.html
上海市人民代表大会常务委员会关于修改《上海市人民代表大会常务委员会任免国家机关工作人员条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/0889f625-3cce-47ad-bb26-05f3653139fb.html
上海市人民代表大会常务委员会关于进一步做好当前促进就业工作的决定	https://www.shrd.gov.cn/shrd/fggb/content/3ba8ca28-33bb-4594-a6d5-d2eb6b25c4bf.html
上海市人民代表大会常务委员会关于修改《上海市环境保护条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/e4571aca-fe87-4b46-bd90-e9a1d70b42da.html
上海市浦东新区化妆品产业创新发展若干规定	https://www.shrd.gov.cn/shrd/fggb/content/f055298d-f74a-49dc-bfc7-aff2df5354fd.html
上海市人民代表大会常务委员会关于加强经济工作监督的决定	https://www.shrd.gov.cn/shrd/fggb/content/b4601ee0-7dce-4581-bf52-5486d208c554.html
上海市人民代表大会常务委员会关于促进和保障浦东新区改革开放再出发实现新时代高质量发展的决定	https://www.shrd.gov.cn/shrd/fggb/content/37b8c882-5320-4603-8b1c-6d4a0e98c237.html
上海市标准化条例	https://www.shrd.gov.cn/shrd/fggb/content/f8772693-b869-4b22-bd85-95c8505a573f.html
上海市航道条例	https://www.shrd.gov.cn/shrd/fggb/content/1a1dcd50-86af-4a91-bdcc-e2d3b660f4aa.html
上海市人民代表大会常务委员会关于修改《上海市历史文化风貌区和优秀历史建筑保护条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/77019833-54fe-49d8-a875-19da0512fcf5.html
上海市人民代表大会常务委员会关于修改《上海市志愿服务条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/735ae2a9-90f5-4788-923b-c386434b214d.html
上海市司法鉴定管理条例	https://www.shrd.gov.cn/shrd/fggb/content/6c784d75-5f86-4c28-9a6a-0f981b7516ee.html
上海市家政服务条例	https://www.shrd.gov.cn/shrd/fggb/content/da75d2b5-0c5d-43aa-9468-35b96501466a.html
上海市排水与污水处理条例	https://www.shrd.gov.cn/shrd/fggb/content/5671604e-51ca-4a45-a394-752df2066dc2.html
上海市推进科技创新中心建设条例	https://www.shrd.gov.cn/shrd/fggb/content/2f477ec2-76e7-4dee-919f-f9403be78c58.html
上海市人民代表大会常务委员会关于全力做好当前新型冠状病毒感染肺炎疫情防控工作的决定	https://www.shrd.gov.cn/shrd/fggb/content/34df9509-7c79-46c2-92e0-f07a6a47dcc0.html
上海市会展业条例	https://www.shrd.gov.cn/shrd/fggb/content/7fc628ca-0ddf-4fec-9533-a3a0ae70989c.html
上海市实施《中华人民共和国农民专业合作社法》办法	https://www.shrd.gov.cn/shrd/fggb/content/68d7cf09-e67a-4b6a-884f-6bd6757ec50e.html
上海市人民代表大会常务委员会关于修改《上海市消防条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/f0dde02b-468e-4729-a977-09e23d068bf9.html
上海市优化营商环境条例	https://www.shrd.gov.cn/shrd/fggb/content/19eca6b7-6d59-4e10-9439-ffa4f2306505.html
上海市地方金融监督管理条例	https://www.shrd.gov.cn/shrd/fggb/content/31b6d6d9-d984-43d2-8b33-b5e951c36200.html
上海市人民代表大会常务委员会关于废止 《上海市实施〈中华人民共和国野生动物保护法〉办法》的决定	https://www.shrd.gov.cn/shrd/fggb/content/cab6f566-ff0e-4c5d-82f1-bb03111f3372.html
上海市中华鲟保护管理条例	https://www.shrd.gov.cn/shrd/fggb/content/245c5d55-5ec3-4243-ba93-6f1caa447dd4.html
上海市人民代表大会常务委员会关于修改本市部分地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/4325f6ee-6f9b-4be0-bbc6-b6b509204845.html
上海市促进中小企业发展条例	https://www.shrd.gov.cn/shrd/fggb/content/96d4be90-97fe-4516-b328-8580e2532c81.html
上海市人民代表大会常务委员会关于加强检察公益诉讼工作的决定	https://www.shrd.gov.cn/shrd/fggb/content/a08ea47e-f7f9-423c-acb1-071e2a92f7a9.html
上海市人民代表大会常务委员会关于修改  《上海市村民委员会选举办法》的决定	https://www.shrd.gov.cn/shrd/fggb/content/2a281a2b-a37c-4157-9444-5468048ad097.html
关于促进和保障长三角生态绿色一体化发展示范区建设若干问题的决定	https://www.shrd.gov.cn/shrd/fggb/content/573b68b7-a7a2-4e68-9aa8-b948f8355554.html
上海市外商投资条例	https://www.shrd.gov.cn/shrd/fggb/content/4bf28aae-da15-4d1a-aacc-0c93b37e6c6f.html
上海市人民代表大会专门委员会工作条例	https://www.shrd.gov.cn/shrd/fggb/content/51ed1008-eaa9-45c3-8633-ffeab624afd0.html
上海市人民代表大会常务委员会关于修改《上海市公路管理条例》的决定	https://www.shrd.gov.cn/shrd/fggb/content/48b700f3-2705-48ac-9daa-25bc7258371a.html
上海市反不正当竞争条例	https://www.shrd.gov.cn/shrd/fggb/content/9aa8699b-7aca-4bb9-87c4-1f06c5fc11cb.html
上海市公共卫生应急管理条例	https://www.shrd.gov.cn/shrd/fggb/content/37dc4919-2483-4a30-a7e4-58f1f5bb32b7.html
上海市公共文化服务保障与促进条例	https://www.shrd.gov.cn/shrd/fggb/content/91e0e854-74d2-4d64-a1e4-fe30d3f9d0a9.html
上海市促进家庭农场发展条例	https://www.shrd.gov.cn/shrd/fggb/content/67308b41-3b65-4f3a-ad90-fb72f6391510.html
上海市不动产登记若干规定	https://www.shrd.gov.cn/shrd/fggb/content/2255cca8-2fcd-4b3f-b100-d7e797d557bd.html
上海市养老服务条例	https://www.shrd.gov.cn/shrd/fggb/content/920e88e8-d763-4ed6-bb1e-313694d43781.html
上海市知识产权保护条例	https://www.shrd.gov.cn/shrd/fggb/content/0272fc31-6f38-402a-9dec-ed38e02b3116.html
上海市铁路安全管理条例	https://www.shrd.gov.cn/shrd/fggb/content/92d7c6a7-97c1-42be-aada-e7edb28b6e1c.html
上海市人民代表大会常务委员会关于修改本市部分地方性法规的决定	https://www.shrd.gov.cn/shrd/fggb/content/de74426b-77b9-45eb-82eb-bc6ec37e7e13.html
上海市人民代表大会常务委员会关于废止《上海市机动车道路交通事故赔偿责任若干规定》的决定	https://www.shrd.gov.cn/shrd/fggb/content/182bbb25-ab87-4d92-8d50-2fb25cfc13f6.html
上海市非机动车安全管理条例	https://www.shrd.gov.cn/shrd/fggb/content/3f994bbf-bc52-4156-af56-8c89bf91bde9.html
上海市促进多元化解矛盾纠纷条例	https://www.shrd.gov.cn/shrd/fggb/content/d7e915e9-f44a-49ae-b200-0bcfa3d873f1.html
