分类,类型,层级,标题,文号,发布单位,发布日期,状态,来源,官方链接,正文
规划与土地,规定,市级,关于印发《上海市城建电子档案管理规定》的通知,沪规划资源行〔2025〕461号,上海市规划和自然资源局,2025-12-02,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::3f90bac4a64b4ab98e7c988911c9fd46,docs/规划与土地/关于印发《上海市城建电子档案管理规定》的通知.md
规划与土地,通知公告,市级,关于印发《上海市国有建设用地使用权招标拍卖挂牌出让业务流程及操作规范》的通知,沪规划资源规〔2025〕7号,上海市规划和自然资源局,2025-12-01,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::4839ae8a68254048b30ee50e107b28c7,
规划与土地,办法,市级,关于印发《上海市国有建设用地使用权出让预申请管理办法》及《上海市国有建设用地使用权出让预申请实施细则》的通知,沪规划资源规〔2025〕6号,上海市规划和自然资源局,2025-11-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::b6c42f438cde4d1c93e88fad858d85bd,docs/规划与土地/关于印发《上海市国有建设用地使用权出让预申请管理办法》及《上海市国有建设用地使用权出让预申请实施细则.md
规划与土地,办法,市级,关于《上海市土地交易市场监督管理办法》继续适用的通知,沪规划资源用〔2025〕457号,上海市规划和自然资源局,2025-11-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::bac6cfc89f0146688f45a5c79555e88d,docs/规划与土地/关于《上海市土地交易市场监督管理办法》继续适用的通知.md
规划与土地,通知公告,市级,关于进一步优化本市新出让商品住房用地套型供应结构的通知,沪房建管〔2025〕155号,上海市房屋管理局,2025-11-20,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0013::d51dcdf954834fb9ae7c7ae88a492ecb,
规划与土地,办法,区级,浦东新区规划和自然资源局关于延长《浦东新区社区规划师制度实施办法》有效期的通知,浦规划资源规〔2025〕1号,上海市浦东新区规划和自然资源局,2025-11-17,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0070::0070349328,docs/规划与土地/浦东新区规划和自然资源局关于延长《浦东新区社区规划师制度实施办法》有效期的通知.md
规划与土地,实施意见,市级,上海市关于推进建设用地土壤污染风险管控和绿色低碳修复的若干意见,沪环土〔2025〕164号,上海市生态环境局,2025-10-28,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::33373bb22b214b9bb4f2f4558e68d6bd,
规划与土地,办法,区级,上海市崇明区人民政府关于印发本区坚决遏制农村乱占耕地建房行为及加强农业用地管控的管理办法的通知,沪崇府发〔2025〕32号,上海市崇明区人民政府办公室,2025-09-11,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0085::test_948c8147-31da-4e42-890f-3df51305b9f0,docs/规划与土地/上海市崇明区人民政府关于印发本区坚决遏制农村乱占耕地建房行为及加强农业用地管控的管理办法的通知.md
规划与土地,规划与计划,市级,关于印发《上海市林地空间专项规划（2026—2035年）》的通知,沪规划资源总〔2025〕371号,上海市规划和自然资源局,2025-09-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::f99f2d07a06548bc9881ce456c6d1c46,
规划与土地,通知公告,市级,关于贯彻落实自然资源部《划拨用地目录》（2025修订版）有关工作的通知,沪规划资源用〔2025〕340号,上海市规划和自然资源局,2025-09-02,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::8ec3b2a8df6247a79a3af3b0fa249307,
规划与土地,技术规定与导则,市级,关于印发《上海市智能网联汽车测绘地理信息安全管理导则（试行）》的通知,沪规划资源调〔2025〕328号,上海市规划和自然资源局,2025-08-25,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::7fb303a0931747f9a4f24b34dc4bfe60,docs/规划与土地/关于印发《上海市智能网联汽车测绘地理信息安全管理导则（试行）》的通知.md
规划与土地,通知公告,市级,关于印发《上海市低效产业用地再开发政策工具箱（2.0版）》的通知,沪规划资源产〔2025〕322号,上海市规划和自然资源局,2025-08-21,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::3ed62c9aacab4665afed106bdb09c516,
规划与土地,实施意见,市级,关于印发《上海市加强汛期、低温冰雪期等重点时期突发性地质灾害防治工作方案》的通知,沪规划资源质〔2025〕323号,上海市规划和自然资源局,2025-08-22,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0032::f38590b075ae40918269ffb8796cf792,
规划与土地,实施细则,市级,上海市生态环境局关于印发《上海市建设用地土壤污染风险管控和修复从业单位信用评价指标及评分细则（2025年版）》的通知,沪环土〔2025〕126号,上海市生态环境局,2025-08-15,有效,统一政策发布平台,https://www.shanghai.gov.cn/zhengce/detail/0024::8c8e3391b93a4132862f5cf63676347e,docs/规划与土地/上海市生态环境局关于印发《上海市建设用地土壤污染风险管控和修复从业单位信用评价指标及评分细则（202.md
